"Monthly counts of all registered deaths for 'unvaccinated' and 'ever vaccinated' by age group; for all deaths and deaths involving COVID-19, deaths occurring between 1 January 2021 and 31 May 2022, England"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Cause of Death	Year	Month	Age group	Vaccination status	Count of Deaths
Deaths involving COVID-19	2021	September	90+	Unvaccinated	46
Deaths involving COVID-19	2021	September	90+	Ever vaccinated	436
Deaths involving COVID-19	2021	October	10-39	Unvaccinated	34
Deaths involving COVID-19	2021	October	10-39	Ever vaccinated	14
Deaths involving COVID-19	2021	October	40-49	Unvaccinated	57
Deaths involving COVID-19	2021	October	40-49	Ever vaccinated	39
Deaths involving COVID-19	2021	October	50-59	Unvaccinated	108
Deaths involving COVID-19	2021	October	50-59	Ever vaccinated	129
Deaths involving COVID-19	2021	October	60-69	Unvaccinated	159
Deaths involving COVID-19	2021	October	60-69	Ever vaccinated	333
Deaths involving COVID-19	2021	October	70-79	Unvaccinated	138
Deaths involving COVID-19	2021	October	70-79	Ever vaccinated	703
Deaths involving COVID-19	2021	October	80-89	Unvaccinated	121
Deaths involving COVID-19	2021	October	80-89	Ever vaccinated	930
Deaths involving COVID-19	2021	October	90+	Unvaccinated	46
Deaths involving COVID-19	2021	October	90+	Ever vaccinated	520
Deaths involving COVID-19	2021	November	10-39	Unvaccinated	41
Deaths involving COVID-19	2021	November	10-39	Ever vaccinated	14
Deaths involving COVID-19	2021	November	40-49	Unvaccinated	73
Deaths involving COVID-19	2021	November	40-49	Ever vaccinated	59
Deaths involving COVID-19	2021	November	50-59	Unvaccinated	138
Deaths involving COVID-19	2021	November	50-59	Ever vaccinated	153
Deaths involving COVID-19	2021	November	60-69	Unvaccinated	176
Deaths involving COVID-19	2021	November	60-69	Ever vaccinated	394
Deaths involving COVID-19	2021	November	70-79	Unvaccinated	170
Deaths involving COVID-19	2021	November	70-79	Ever vaccinated	782
Deaths involving COVID-19	2021	November	80-89	Unvaccinated	138
Deaths involving COVID-19	2021	November	80-89	Ever vaccinated	849
Deaths involving COVID-19	2021	November	90+	Unvaccinated	57
Deaths involving COVID-19	2021	November	90+	Ever vaccinated	433
Deaths involving COVID-19	2021	December	10-39	Unvaccinated	73
Deaths involving COVID-19	2021	December	10-39	Ever vaccinated	21
